store,websites,attribute_set,type,sku,name,image,small_image,thumbnail,gallery
admin,base,Default,simple,CHKL000274043,Zipper Booties,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,CHKL000274044,Zipper Booties,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,CHKL000274045,Zipper Booties,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,CHKL000274046,Zipper Booties,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,CHKL000275041,Roxy Zipper Booties,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,CHKL000275042,Zipper Booties,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,CHKL000275043,Zipper Booties,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,CHKL000275044,Zipper Booties,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,CHKL000275045,Zipper Booties,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,CHKL000275046,Zipper Booties,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,ZDKL000357034,Shirt Dress with Leather Look Detail,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,configurable,ZDKL000356,Shirt Dress with Leather Look Detail,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,JEKL000082032,Leather Look Biker Jacket,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,JEKL000082033,Leather Look Biker Jacket,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,JEKL000082034,Leather Look Biker Jacket,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,JEKL000083032,Leather Look Biker Jacket,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,JEKL000083033,Leather Look Biker Jacket,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,JEKL000083034,Leather Look Biker Jacket,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,configurable,JEKL000083,Leather Look Biker Jacket,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,JEKL000084032,Leather Look Biker Vest,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,JEKL000084033,Leather Look Biker Vest,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,JEKL000084034,Leather Look Biker Vest,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,JEKL000085032,Leather Look Biker Vest,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,JEKL000085033,Leather Look Biker Vest,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,JEKL000085034,Leather Look Biker Vest,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,configurable,JEKL000085,Leather Look Biker Vest,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,JEKL000093032,Leather Look Tank Top,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,JEKL000093033,Leather Look Tank Top,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,simple,JEKL000093034,Leather Look Tank Top,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
admin,base,Default,configurable,JEKL000093,Leather Look Tank Top,/new_bottoms/MM000009-01.jpg,/new_bottoms/KL000074-06.jpg,/new_bottoms/MM000006-02.jpg,/new_bottoms/MM000026-05.jpg;/new_bottoms/MM000044-01.jpg
